Forecast,Saidas,Ano,Trimestre,Mês,Dia,Date mais recente
22511,10508,2023,Trim 1,fevereiro,1,2023-02-01 00:00:00
15543,9479,2023,Trim 1,março,1,2023-03-01 00:00:00
21025,8641,2023,Trim 2,abril,1,2023-04-01 00:00:00
19278,10317,2023,Trim 2,maio,1,2023-05-01 00:00:00
19341,11553,2023,Trim 2,junho,1,2023-06-01 00:00:00
18895,9116,2023,Trim 3,julho,1,2023-07-01 00:00:00
17188,10695,2023,Trim 3,agosto,1,2023-08-01 00:00:00
11650,16280,2023,Trim 3,setembro,1,2023-09-01 00:00:00
12028,10450,2023,Trim 4,outubro,1,2023-10-01 00:00:00
12051,10143,2023,Trim 4,novembro,1,2023-11-01 00:00:00
14036,14204,2023,Trim 4,dezembro,1,2023-12-01 00:00:00
12288,10594,2024,Trim 1,janeiro,1,2024-01-01 00:00:00
13594,10540,2024,Trim 1,fevereiro,1,2024-02-01 00:00:00
14304,13568,2024,Trim 1,março,1,2024-03-01 00:00:00
16279,15098,2024,Trim 2,abril,1,2024-04-01 00:00:00
13570,14796,2024,Trim 2,maio,1,2024-05-01 00:00:00
14931,12730,2024,Trim 2,junho,1,2024-06-01 00:00:00
15443,16278,2024,Trim 3,julho,1,2024-07-01 00:00:00
18172,11698,2024,Trim 3,agosto,1,2024-08-01 00:00:00
18371,14981,2024,Trim 3,setembro,1,2024-09-01 00:00:00
