Ano,Mês,Total,Date mais recente
2021,janeiro,22352,2021-01-01 00:00:00
2021,fevereiro,24914,2021-02-01 00:00:00
2021,março,24135,2021-03-01 00:00:00
2021,abril,20978,2021-04-01 00:00:00
2021,maio,23282,2021-05-01 00:00:00
2021,junho,22000,2021-06-01 00:00:00
2021,julho,32970,2021-07-01 00:00:00
2021,agosto,31780,2021-08-01 00:00:00
2021,setembro,30521,2021-09-01 00:00:00
2021,outubro,23695,2021-10-01 00:00:00
2021,novembro,29472,2021-11-01 00:00:00
2021,dezembro,28291,2021-12-01 00:00:00
2022,janeiro,20299,2022-01-01 00:00:00
2022,fevereiro,22827,2022-02-01 00:00:00
2022,março,26855,2022-03-01 00:00:00
2022,abril,29807,2022-04-01 00:00:00
2022,maio,32211,2022-05-01 00:00:00
2022,junho,29555,2022-06-01 00:00:00
2022,julho,27597,2022-07-01 00:00:00
2022,agosto,36867,2022-08-01 00:00:00
2022,setembro,37364,2022-09-01 00:00:00
2022,outubro,31055,2022-10-01 00:00:00
2022,novembro,37011,2022-11-01 00:00:00
2022,dezembro,32863,2022-12-01 00:00:00
2023,janeiro,27306,2023-01-01 00:00:00
2023,fevereiro,30436,2023-02-01 00:00:00
2023,março,33826,2023-03-01 00:00:00
2023,abril,30134,2023-04-01 00:00:00
2023,maio,34022,2023-05-01 00:00:00
2023,junho,34110,2023-06-01 00:00:00
2023,julho,27550,2023-07-01 00:00:00
2023,agosto,32619,2023-08-01 00:00:00
2023,setembro,38380,2023-09-01 00:00:00
2023,outubro,34342,2023-10-01 00:00:00
2023,novembro,32360,2023-11-01 00:00:00
2023,dezembro,35842,2023-12-01 00:00:00
