ETS;Data;Total;Previsão de Demanda;Erro Absoluto;Erro Percentual;MAE;MAPE;Acuracia;;;Suavização;Ano;Mês;Total;Previsao;Erro Absoluto;Erro Percentual;MAE;MAPE;Acuracia 
;31/01/2024 00:00;41.661;34.434;7.227;17,35%;3.587;9,62%;90,38%;;;;2024;janeiro;41.661;27.331;14.330;34,39624076;4.368;11,26642819;88,73%
;29/02/2024 00:00;30.372;34.956;4.584;15,09%;;;;;;;2024;fevereiro;30.372;30.613;241;0,794232507;;;
;31/03/2024 00:00;37.785;35.254;2.531;6,70%;;;;;;;2024;março;37.785;34.498;3.287;8,698331761;;;
;30/04/2024 00:00;43.087;35.382;7.705;17,88%;;;;;;;2024;abril;43.087;34.100;8.987;20,85673152;;;
;31/05/2024 00:00;35.988;35.738;250;0,69%;;;;;;;2024;maio;35.988;37.322;1.334;3,707766864;;;
;30/06/2024 00:00;35.034;35.875;841;2,40%;;;;;;;2024;junho;35.034;36.179;1.145;3,267692367;;;
;31/07/2024 00:00;39.335;36.049;3.286;8,35%;;;;;;;2024;julho;39.335;37.916;1.419;3,607463791;;;
;31/08/2024 00:00;34.859;36.634;1.775;5,09%;;;;;;;2024;agosto;34.859;42.096;7.237;20,76023054;;;
;30/09/2024 00:00;39.480;36.893;2.587;6,55%;;;;;;;2024;setembro;39.480;41.756;2.276;5,766015251;;;
;31/10/2024 00:00;31.725;36.812;5.087;16,04%;;;;;;;2024;outubro;31.725;35.154;3.429;10,8095765;;;
;30/11/2024 00:00;;37.033;;;;;;;;;2024;novembro;;36.000;;;;;
;31/12/2024 00:00;;37.386;;;;;;;;;2024;dezembro;;38.181;;;;;
